dataset,fold,seed,level,stage,n_trials,V7_policy,RMSE,normalized_RMSE,contrast_RMSE,positive_mean_error,latency_error_ms,latency_pairs,objective
VisualCogA_Task-1,1,2027,2.0,V3,18,保守比例,90.22263139918041,0.9377340440383735,54.06345673851368,6.9115587575746025,84.63541666666667,3,1.2905255267493116
VisualCogA_Task-1,1,2027,2.0,V4,18,保守比例,90.27002113440274,0.9382265919431151,54.15330643600587,6.729849932251352,84.63541666666667,3,1.2895964026242515
VisualCogA_Task-1,1,2027,2.0,V6,18,保守比例,65.51864793609525,0.6809717887434521,40.392543845664605,10.359199591839968,76.171875,4,0.9985518174635325
VisualCogA_Task-1,1,2027,2.0,V7,18,保守比例,65.51864793609525,0.6809717887434521,40.392543845664605,10.359199591839968,76.171875,4,0.9985518174635325
VisualCogA_Task-1,1,2039,0.0,预处理,18,保守比例,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2039,0.0,V3,18,保守比例,86.2197017069687,0.8961293669183813,41.3246980517543,3.852776924701074,34.1796875,4,1.1509287209300691
VisualCogA_Task-1,1,2039,0.0,V4,18,保守比例,86.42469790660657,0.8982600065629778,41.32397828446367,3.7964516516174096,34.1796875,4,1.1524702001785203
VisualCogA_Task-1,1,2039,0.0,V6,18,保守比例,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
VisualCogA_Task-1,1,2039,0.0,V7,18,保守比例,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
VisualCogA_Task-1,1,2039,0.5,预处理,18,保守比例,19.86451699319422,0.2064629856613362,14.659887679270607,3.463666848775643,82.03125,3,0.31864699142190583
VisualCogA_Task-1,1,2039,0.5,V3,18,保守比例,86.73139634289228,0.9014476941807994,43.64314396702541,3.754895287562713,80.078125,4,1.1672781594906212
VisualCogA_Task-1,1,2039,0.5,V4,18,保守比例,86.78102894922081,0.901963553493777,43.58111239505829,3.8845359304678566,80.078125,4,1.1688190818558455
VisualCogA_Task-1,1,2039,0.5,V6,18,保守比例,21.415797679206374,0.2225863095832099,15.827830739493207,3.501250480671428,86.9140625,4,0.34123048422405816
VisualCogA_Task-1,1,2039,0.5,V7,18,保守比例,21.415797679206374,0.2225863095832099,15.827830739493207,3.501250480671428,86.9140625,4,0.34123048422405816
VisualCogA_Task-1,1,2039,1.0,预处理,18,保守比例,39.723109190262214,0.4128643916176096,29.382374625828078,5.083626631158366,82.03125,3,0.6183950435428193
VisualCogA_Task-1,1,2039,1.0,V3,18,保守比例,88.33756184261684,0.9181414665314173,42.679269469857225,3.981519694869997,58.59375,4,1.1813183233238131
VisualCogA_Task-1,1,2039,1.0,V4,18,保守比例,88.32909858605319,0.9180535031936151,42.915441405661745,3.958973535378501,58.59375,4,1.1822233584113317
VisualCogA_Task-1,1,2039,1.0,V6,18,保守比例,36.393740167906394,0.37826040557760404,27.94652247847451,4.954876266332,82.03125,3,0.5749910778485205
VisualCogA_Task-1,1,2039,1.0,V7,18,保守比例,36.393740167906394,0.37826040557760404,27.94652247847451,4.954876266332,82.03125,3,0.5749910778485205
VisualCogA_Task-1,1,2039,2.0,预处理,18,保守比例,79.72907988118875,0.8286687203087364,59.55975756404623,6.921436973452072,106.4453125,4,1.2101259302258445
VisualCogA_Task-1,1,2039,2.0,V3,18,保守比例,90.25089765285617,0.9380278309514586,41.37123121956226,3.7301782613698156,62.5,4,1.191794771353617
VisualCogA_Task-1,1,2039,2.0,V4,18,保守比例,90.11824927504162,0.9366491425022953,41.052055962360804,3.9182951354159363,62.5,4,1.1907126032374342
VisualCogA_Task-1,1,2039,2.0,V6,18,保守比例,69.14243328312551,0.7186358075766309,52.93525596795121,6.61324981670271,106.4453125,4,1.0624637899718676
VisualCogA_Task-1,1,2039,2.0,V7,18,保守比例,69.14243328312551,0.7186358075766309,52.93525596795121,6.61324981670271,106.4453125,4,1.0624637899718676
VisualCogA_Task-1,1,2053,0.0,预处理,18,保守比例,3.969701898539267e-15,4.125932215913902e-17,4.861088017293574e-15,3.700743415417188e-17,0.0,4,6.690595823532296e-17
VisualCogA_Task-1,1,2053,0.0,V3,18,保守比例,86.2197017069687,0.8961293669183813,41.3246980517543,3.852776924701074,34.1796875,4,1.1509287209300691
VisualCogA_Task-1,1,2053,0.0,V4,18,保守比例,86.42469790660657,0.8982600065629778,41.32397828446367,3.7964516516174096,34.1796875,4,1.1524702001785203
VisualCogA_Task-1,1,2053,0.0,V6,18,保守比例,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
VisualCogA_Task-1,1,2053,0.0,V7,18,保守比例,12.963704685990985,0.13473900098444666,6.19859674266955,0.6070828023126364,0.0,4,0.17326148423296397
VisualCogA_Task-1,1,2053,0.5,预处理,18,保守比例,20.97813667481101,0.21803745507514588,15.240282132433633,3.794884278992857,71.2890625,4,0.3366801693671304
VisualCogA_Task-1,1,2053,0.5,V3,18,保守比例,87.8942694796872,0.9135340821785695,44.64475823223267,4.510047475743447,103.515625,4,1.1924184320266946
VisualCogA_Task-1,1,2053,0.5,V4,18,保守比例,88.1089705824208,0.9157655902847242,44.33710813941637,4.542201857819556,103.515625,4,1.1933853491722939
VisualCogA_Task-1,1,2053,0.5,V6,18,保守比例,24.189764423317264,0.25141769049776275,15.261268343327211,4.034031060594432,79.1015625,4,0.3726550511351793
VisualCogA_Task-1,1,2053,0.5,V7,18,保守比例,24.189764423317264,0.25141769049776275,15.261268343327211,4.034031060594432,79.1015625,4,0.3726550511351793
VisualCogA_Task-1,1,2053,1.0,预处理,18,保守比例,42.06869204121694,0.43724334020669736,30.228968014568807,5.800356885862619,88.8671875,4,0.6546229269799564
VisualCogA_Task-1,1,2053,1.0,V3,18,保守比例,89.221419739523,0.9273278937855064,44.60313235108127,5.943966529955556,65.10416666666667,3,1.2208994422892856
VisualCogA_Task-1,1,2053,1.0,V4,18,保守比例,89.33164795666289,0.928473557021246,43.72928226464015,5.964398890355759,65.10416666666667,3,1.2177162651695987
VisualCogA_Task-1,1,2053,1.0,V6,18,保守比例,40.4018003188687,0.4199184064120275,27.29070161196808,5.7404433517424565,86.9140625,4,0.6214057590917619
VisualCogA_Task-1,1,2053,1.0,V7,18,保守比例,40.4018003188687,0.4199184064120275,27.29070161196808,5.7404433517424565,86.9140625,4,0.6214057590917619
VisualCogA_Task-1,1,2053,2.0,预处理,18,保守比例,83.84892158497576,0.871488529061568,60.78494859352186,7.9147173866308265,95.703125,4,1.26963650164826
VisualCogA_Task-1,1,2053,2.0,V3,18,保守比例,91.0325732478606,0.946152220646839,48.0852118486178,6.587377439265531,33.854166666666664,3,1.2645066925007122
VisualCogA_Task-1,1,2053,2.0,V4,18,保守比例,90.95620622703848,0.9453584956783236,47.07885264664564,6.462958688075532,33.854166666666664,3,1.2571899884116473
VisualCogA_Task-1,1,2053,2.0,V6,18,保守比例,75.04272664669377,0.7799608417839784,52.51430306567033,7.55167609000251,105.46875,3,1.1313548120029389
VisualCogA_Task-1,1,2053,2.0,V7,18,保守比例,75.04272664669377,0.7799608417839784,52.51430306567033,7.55167609000251,105.46875,3,1.1313548120029389
VisualCogA_Task-1,2,2027,0.0,预处理,18,保守比例,9.233673180100474e-15,9.5403862108894e-17,7.077414176530199e-15,7.401486830834377e-17,0.0,2,1.3273111212739164e-16
VisualCogA_Task-1,2,2027,0.0,V3,18,保守比例,92.45922968912193,0.9553042898427083,10.72785672570089,1.4882036842452893,0.0,2,1.0261016689812605
VisualCogA_Task-1,2,2027,0.0,V4,18,保守比例,92.19023594467815,0.9525250012971298,10.82002720868515,1.3716842264139892,0.0,2,1.022594642282912
VisualCogA_Task-1,2,2027,0.0,V6,18,保守比例,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
VisualCogA_Task-1,2,2027,0.0,V7,18,保守比例,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
VisualCogA_Task-1,2,2027,0.5,预处理,18,保守比例,19.69651597229973,0.20350771109125004,10.154769694324845,1.1885981437939666,0.0,2,0.26824889973697746
VisualCogA_Task-1,2,2027,0.5,V3,18,保守比例,93.01663385569415,0.9610634833087696,14.105053075788621,3.2676739890121094,1.953125,2,1.0676935284490938
VisualCogA_Task-1,2,2027,0.5,V4,18,保守比例,92.79437410960234,0.9587670582832231,14.265941440504834,3.1417772095620187,1.953125,2,1.064927479556547
VisualCogA_Task-1,2,2027,0.5,V6,18,保守比例,23.530664895822294,0.24312278172132523,8.619557417329014,1.2393307553727797,0.0,2,0.3004571126867202
VisualCogA_Task-1,2,2027,0.5,V7,18,保守比例,23.530664895822294,0.24312278172132523,8.619557417329014,1.2393307553727797,0.0,2,0.3004571126867202
VisualCogA_Task-1,2,2027,1.0,预处理,18,保守比例,38.88532426833768,0.4017697012009418,20.741907167761187,2.458473267294467,66.40625,2,0.534325494152705
VisualCogA_Task-1,2,2027,1.0,V3,18,保守比例,92.85231618411083,0.9593657255285208,16.01965977245435,5.835452294875431,82.03125,2,1.102417506363834
VisualCogA_Task-1,2,2027,1.0,V4,18,保守比例,92.61711780921758,0.9569356164171317,16.007091019834352,5.753008391698326,82.03125,2,1.099070641766709
VisualCogA_Task-1,2,2027,1.0,V6,18,保守比例,38.018852111142586,0.39281716534723754,17.38892583862452,2.563197576766635,64.453125,2,0.5091332043371476
VisualCogA_Task-1,2,2027,1.0,V7,18,保守比例,38.018852111142586,0.39281716534723754,17.38892583862452,2.563197576766635,64.453125,2,0.5091332043371476
VisualCogA_Task-1,2,2027,2.0,预处理,18,保守比例,77.40054375299746,0.7997154176171564,41.81387317172799,6.658059110789288,89.84375,2,1.0845215827458154
VisualCogA_Task-1,2,2027,2.0,V3,18,保守比例,91.97572331975576,0.9503086208286486,16.54473430673703,4.099943341807815,19.53125,2,1.078141410816715
VisualCogA_Task-1,2,2027,2.0,V4,18,保守比例,91.76762224192927,0.9481584855415933,16.32061478349662,3.986822049505866,19.53125,2,1.073664667060971
VisualCogA_Task-1,2,2027,2.0,V6,18,保守比例,68.99646791501766,0.7128830945794258,35.07598113011497,5.975559390909022,89.84375,2,0.955829041867676
VisualCogA_Task-1,2,2027,2.0,V7,18,保守比例,68.99646791501766,0.7128830945794258,35.07598113011497,5.975559390909022,89.84375,2,0.955829041867676
VisualCogA_Task-1,2,2039,0.0,预处理,18,保守比例,9.233673180100474e-15,9.5403862108894e-17,7.077414176530199e-15,7.401486830834377e-17,0.0,2,1.3273111212739164e-16
VisualCogA_Task-1,2,2039,0.0,V3,18,保守比例,92.45922968912193,0.9553042898427083,10.72785672570089,1.4882036842452893,0.0,2,1.0261016689812605
VisualCogA_Task-1,2,2039,0.0,V4,18,保守比例,92.19023594467815,0.9525250012971298,10.82002720868515,1.3716842264139892,0.0,2,1.022594642282912
VisualCogA_Task-1,2,2039,0.0,V6,18,保守比例,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
VisualCogA_Task-1,2,2039,0.0,V7,18,保守比例,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
VisualCogA_Task-1,2,2039,0.5,预处理,18,保守比例,19.63641786069825,0.20288676730859712,24.249456950778253,2.443569200987851,3.90625,1,0.35340886567284374
VisualCogA_Task-1,2,2039,0.5,V3,18,保守比例,90.79711397606101,0.9381310311400255,16.00759385529964,2.8078588825105015,48.828125,2,1.0498388748077319
VisualCogA_Task-1,2,2039,0.5,V4,18,保守比例,90.66417548463598,0.9367574883193622,15.899656089853828,2.752332236217944,48.828125,2,1.047334005791309
VisualCogA_Task-1,2,2039,0.5,V6,18,保守比例,21.410015256565643,0.22121187348158658,22.74084174765518,2.451459230769552,3.90625,1,0.36402186013202403
VisualCogA_Task-1,2,2039,0.5,V7,18,保守比例,21.410015256565643,0.22121187348158658,22.74084174765518,2.451459230769552,3.90625,1,0.36402186013202403
VisualCogA_Task-1,2,2039,1.0,预处理,18,保守比例,39.287165193871196,0.4059215891334636,48.62568911250907,4.415776702213704,136.71875,1,0.7027505289998106
VisualCogA_Task-1,2,2039,1.0,V3,18,保守比例,92.29419817159923,0.9535991564863223,19.168705084404447,4.9180454209916435,70.3125,2,1.1034403679459852
VisualCogA_Task-1,2,2039,1.0,V4,18,保守比例,91.5073943600338,0.9454697673601064,19.83263296285655,4.733363893942895,70.3125,2,1.0968327254387324
VisualCogA_Task-1,2,2039,1.0,V6,18,保守比例,35.88895171269711,0.37081067670987816,43.571763694995276,4.405313624453069,136.71875,1,0.6414225071846801
VisualCogA_Task-1,2,2039,1.0,V7,18,保守比例,35.88895171269711,0.37081067670987816,43.571763694995276,4.405313624453069,136.71875,1,0.6414225071846801
VisualCogA_Task-1,2,2039,2.0,预处理,18,保守比例,77.87099019560345,0.8045761492744915,94.71081471980433,10.039670300132501,136.71875,1,1.3975917312649762
VisualCogA_Task-1,2,2039,2.0,V3,18,保守比例,92.48101418063378,0.9555293708677535,24.693908667705482,7.07437865550451,82.03125,2,1.1561938451617626
VisualCogA_Task-1,2,2039,2.0,V4,18,保守比例,91.97430816722776,0.950293999235052,25.06647985091414,6.718908594251796,82.03125,2,1.1492104311738167
VisualCogA_Task-1,2,2039,2.0,V6,18,保守比例,67.30414455445226,0.6953977253892977,83.03249049614054,9.53695618281549,136.71875,1,1.222887977050643
VisualCogA_Task-1,2,2039,2.0,V7,18,保守比例,67.30414455445226,0.6953977253892977,83.03249049614054,9.53695618281549,136.71875,1,1.222887977050643
VisualCogA_Task-1,2,2053,0.0,预处理,18,保守比例,9.233673180100474e-15,9.5403862108894e-17,7.077414176530199e-15,7.401486830834377e-17,0.0,2,1.3273111212739164e-16
VisualCogA_Task-1,2,2053,0.0,V3,18,保守比例,92.45922968912193,0.9553042898427083,10.72785672570089,1.4882036842452893,0.0,2,1.0261016689812605
VisualCogA_Task-1,2,2053,0.0,V4,18,保守比例,92.19023594467815,0.9525250012971298,10.82002720868515,1.3716842264139892,0.0,2,1.022594642282912
VisualCogA_Task-1,2,2053,0.0,V6,18,保守比例,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
VisualCogA_Task-1,2,2053,0.0,V7,18,保守比例,13.82853539170172,0.14287875019456944,1.6230040813027728,0.09715490740729764,0.0,2,0.15226714639248815
VisualCogA_Task-1,2,2053,0.5,预处理,18,保守比例,18.445095374988025,0.19057782330147488,8.99213638754136,1.1394981228010317,0.0,2,0.2488054409878402
VisualCogA_Task-1,2,2053,0.5,V3,18,保守比例,91.69330373239244,0.9473906142191308,9.668786032313612,1.9448083839651975,41.015625,2,1.0174344616643165
VisualCogA_Task-1,2,2053,0.5,V4,18,保守比例,91.58308599339031,0.9462518260284924,9.87455384077169,1.7425682794584834,41.015625,2,1.0152691085253558
VisualCogA_Task-1,2,2053,0.5,V6,18,保守比例,23.373166588176545,0.24149548275460397,7.157749493031816,1.0347374995290477,0.0,2,0.289164099345254
VisualCogA_Task-1,2,2053,0.5,V7,18,保守比例,23.373166588176545,0.24149548275460397,7.157749493031816,1.0347374995290477,0.0,2,0.289164099345254
VisualCogA_Task-1,2,2053,1.0,预处理,18,保守比例,37.028024905445044,0.3825797722467509,17.168632345539518,2.294646661496412,46.875,2,0.4949830433918554
VisualCogA_Task-1,2,2053,1.0,V3,18,保守比例,91.54897480175491,0.9458993834674791,12.451072810298768,4.7840900799175925,52.734375,2,1.0596526933978538
VisualCogA_Task-1,2,2053,1.0,V4,18,保守比例,91.39538654849218,0.944312483839344,12.290418038036684,4.670645576773302,52.734375,2,1.056063710065387
VisualCogA_Task-1,2,2053,1.0,V6,18,保守比例,37.52808833598036,0.38774651159759854,13.787625180258512,2.2859936756127337,46.875,2,0.4825938117002951
VisualCogA_Task-1,2,2053,1.0,V7,18,保守比例,37.52808833598036,0.38774651159759854,13.787625180258512,2.2859936756127337,46.875,2,0.4825938117002951
VisualCogA_Task-1,2,2053,2.0,预处理,18,保守比例,74.1407982886536,0.7660351799994144,33.42815985877523,5.200658034779903,70.3125,2,0.9924619332650344
VisualCogA_Task-1,2,2053,2.0,V3,18,保守比例,93.09865615602978,0.9619109514916309,13.928791183414052,6.370791624522471,41.015625,2,1.0996923454785037
VisualCogA_Task-1,2,2053,2.0,V4,18,保守比例,93.20848558130567,0.9630457275596318,13.845842057622932,6.340139947618119,41.015625,2,1.1000819011231595
VisualCogA_Task-1,2,2053,2.0,V6,18,保守比例,68.1951277473493,0.7046035133805472,27.660301493247335,5.0976935717482315,70.3125,2,0.9001691798436217
VisualCogA_Task-1,2,2053,2.0,V7,18,保守比例,68.1951277473493,0.7046035133805472,27.660301493247335,5.0976935717482315,70.3125,2,0.9001691798436217
VisualCogA_Task-1,3,2027,0.0,预处理,18,训练均值保护,9.215541987798065e-15,5.821060833239412e-17,1.0067897405123407e-14,2.3754146797709077e-15,0.0,4,1.0501236458421508e-16
VisualCogA_Task-1,3,2027,0.0,V3,18,训练均值保护,152.46164194921238,0.9630345059433504,90.36140609668499,16.58389317044316,19.53125,4,1.353174849730039
VisualCogA_Task-1,3,2027,0.0,V4,18,训练均值保护,75.23562141366422,0.47523100611486874,43.70899474290033,8.102519228187676,19.53125,4,0.6644565733574103
VisualCogA_Task-1,3,2027,0.0,V6,18,训练均值保护,11.285343212049632,0.07128465091723031,6.556349211435053,1.2153778842281537,0.9765625,4,0.09966848600361156
VisualCogA_Task-1,3,2027,0.0,V7,18,训练均值保护,18.643477604799838,0.1177628157132482,9.530601297108335,1.8521940598928428,0.9765625,4,0.15956267871915047
VisualCogA_Task-1,3,2027,0.5,预处理,18,训练均值保护,19.29168346364978,0.12185725285196855,18.45308697460036,3.684649891235985,91.796875,4,0.20341169879306362
VisualCogA_Task-1,3,2027,0.5,V3,18,训练均值保护,153.1956110866766,0.9676706727630084,90.4998513742658,16.45085089684029,26.041666666666668,3,1.3574078954125026
VisualCogA_Task-1,3,2027,0.5,V4,18,训练均值保护,76.43396633564397,0.48280043469463524,45.96788842223532,8.791186935539947,113.28125,4,0.6835102482180928
VisualCogA_Task-1,3,2027,0.5,V6,18,训练均值保护,20.762440843444107,0.13114739356214528,18.77458298236185,3.8179758566531024,91.796875,4,0.21455937806909095
VisualCogA_Task-1,3,2027,0.5,V7,18,训练均值保护,24.767947851848465,0.15644845561010814,19.622985032503706,3.875622445005046,91.796875,4,0.24290406389284433
VisualCogA_Task-1,3,2027,1.0,预处理,18,训练均值保护,38.71624483190911,0.24455383817852158,36.65884979717842,6.9119783925745395,113.28125,4,0.403992907816249
VisualCogA_Task-1,3,2027,1.0,V3,18,训练均值保护,153.4444394522932,0.9692424143439243,93.27954775492732,17.3975642796938,20.5078125,4,1.3737386897720008
VisualCogA_Task-1,3,2027,1.0,V4,18,训练均值保护,77.91752040941934,0.4921714066073897,53.28340710745702,10.13540275924427,91.796875,4,0.7244765422161092
VisualCogA_Task-1,3,2027,1.0,V6,18,训练均值保护,37.17985050186361,0.23484909713249238,35.5159811512118,6.883707484872944,113.28125,4,0.39050008720371043
VisualCogA_Task-1,3,2027,1.0,V7,18,训练均值保护,38.1583995960651,0.24103017016455094,35.2632906385061,6.829048995080658,113.28125,4,0.3955378375546395
VisualCogA_Task-1,3,2027,2.0,预处理,18,训练均值保护,78.09487545858995,0.493291682041728,71.82114640606393,11.719942930937114,113.28125,4,0.7941531314296583
VisualCogA_Task-1,3,2027,2.0,V3,18,训练均值保护,156.74890338163073,0.9901152892973324,93.34120794089333,18.06622975682799,54.6875,4,1.3990299768726544
VisualCogA_Task-1,3,2027,2.0,V4,18,训练均值保护,85.73681448683628,0.5415625184463889,69.276236164973,12.144680640187802,113.28125,4,0.837069302175938
VisualCogA_Task-1,3,2027,2.0,V6,18,训练均值保护,72.57102827611274,0.458399919272601,68.45402027929885,11.534542464611917,113.28125,4,0.7474559312636428
VisualCogA_Task-1,3,2027,2.0,V7,18,训练均值保护,70.04695469549074,0.4424564339303094,66.6337722071187,11.363683531933752,113.28125,4,0.7246843422360474
VisualCogA_Task-1,3,2039,0.0,预处理,18,训练均值保护,9.215541987798065e-15,5.821060833239412e-17,1.0067897405123407e-14,2.3754146797709077e-15,0.0,4,1.0501236458421508e-16
VisualCogA_Task-1,3,2039,0.0,V3,18,训练均值保护,152.46164194921238,0.9630345059433504,90.36140609668499,16.58389317044316,19.53125,4,1.353174849730039
VisualCogA_Task-1,3,2039,0.0,V4,18,训练均值保护,75.23562141366422,0.47523100611486874,43.70899474290033,8.102519228187676,19.53125,4,0.6644565733574103
VisualCogA_Task-1,3,2039,0.0,V6,18,训练均值保护,11.285343212049632,0.07128465091723031,6.556349211435053,1.2153778842281537,0.9765625,4,0.09966848600361156
VisualCogA_Task-1,3,2039,0.0,V7,18,训练均值保护,18.643477604799838,0.1177628157132482,9.530601297108335,1.8521940598928428,0.9765625,4,0.15956267871915047
VisualCogA_Task-1,3,2039,0.5,预处理,18,训练均值保护,24.257896511551753,0.15322668104288936,26.641921867894386,6.845702623432785,75.1953125,4,0.28061080617238743
VisualCogA_Task-1,3,2039,0.5,V3,18,训练均值保护,154.82702822979243,0.9779756319797761,86.84201161115601,16.493500009095204,26.3671875,4,1.3564297517727049
VisualCogA_Task-1,3,2039,0.5,V4,18,训练均值保护,74.77788506256738,0.47233968279514676,41.59006745242659,7.913210716910787,58.59375,4,0.653677294343333
VisualCogA_Task-1,3,2039,0.5,V6,18,训练均值保护,23.908974441213502,0.15102269065340593,23.63582025432709,7.0059266186351286,76.171875,4,0.26992475735479476
VisualCogA_Task-1,3,2039,0.5,V7,18,训练均值保护,26.654369423254774,0.16836416793482076,22.83774910537098,7.074897453429096,76.171875,4,0.28518135788001625
VisualCogA_Task-1,3,2039,1.0,预处理,18,训练均值保护,47.891873291777685,0.30251232995124466,52.672095119680726,14.06510563067342,118.1640625,4,0.5577090083087354
VisualCogA_Task-1,3,2039,1.0,V3,18,训练均值保护,155.3100721126338,0.981026812074085,90.86122676245715,19.116293985445456,45.8984375,4,1.3887418166569623
VisualCogA_Task-1,3,2039,1.0,V4,18,训练均值保护,76.91356640336348,0.48582986169254533,49.44685721470478,13.884302009033199,61.5234375,4,0.7296982623236388
VisualCogA_Task-1,3,2039,1.0,V6,18,训练均值保护,44.62464142354747,0.2818746338868694,48.28816128655871,14.04283613853147,96.6796875,4,0.5230849348274924
VisualCogA_Task-1,3,2039,1.0,V7,18,训练均值保护,44.266460871969805,0.27961216166030095,46.310565155611165,13.98904860251659,96.6796875,4,0.5142368985416851
VisualCogA_Task-1,3,2039,2.0,预处理,18,训练均值保护,95.45006272669038,0.602916922742317,104.60436054127425,27.825300245471727,117.1875,4,1.1090476952091484
VisualCogA_Task-1,3,2039,2.0,V3,18,训练均值保护,156.86103660511287,0.9908235865588293,90.68087298026308,19.58277638137582,26.3671875,4,1.4009155508890747
VisualCogA_Task-1,3,2039,2.0,V4,18,训练均值保护,88.03013727223444,0.5560484504314337,73.45373702844873,22.538125097055527,63.4765625,4,0.9303998814699842
VisualCogA_Task-1,3,2039,2.0,V6,18,训练均值保护,88.0635522392111,0.5562595183813919,97.02688525661125,27.075605248449218,117.1875,4,1.033722967194098
VisualCogA_Task-1,3,2039,2.0,V7,18,训练均值保护,84.19847801516562,0.5318455097284617,92.81116491562,26.535144515581774,117.1875,4,0.9925806563915732
VisualCogA_Task-1,3,2053,0.0,预处理,18,训练均值保护,9.215541987798065e-15,5.821060833239412e-17,1.0067897405123407e-14,2.3754146797709077e-15,0.0,4,1.0501236458421508e-16
VisualCogA_Task-1,3,2053,0.0,V3,18,训练均值保护,152.46164194921238,0.9630345059433504,90.36140609668499,16.58389317044316,19.53125,4,1.353174849730039
VisualCogA_Task-1,3,2053,0.0,V4,18,训练均值保护,75.23562141366422,0.47523100611486874,43.70899474290033,8.102519228187676,19.53125,4,0.6644565733574103
VisualCogA_Task-1,3,2053,0.0,V6,18,训练均值保护,11.285343212049632,0.07128465091723031,6.556349211435053,1.2153778842281537,0.9765625,4,0.09966848600361156
VisualCogA_Task-1,3,2053,0.0,V7,18,训练均值保护,18.643477604799838,0.1177628157132482,9.530601297108335,1.8521940598928428,0.9765625,4,0.15956267871915047
VisualCogA_Task-1,3,2053,0.5,预处理,18,训练均值保护,20.390510496359227,0.12879806980129047,9.359594346806627,3.065173882456106,16.6015625,4,0.17771971513428342
VisualCogA_Task-1,3,2053,0.5,V3,18,训练均值保护,153.69824865145927,0.9708456177044403,85.45673182421109,15.31568410486373,49.8046875,4,1.337484874086474
VisualCogA_Task-1,3,2053,0.5,V4,18,训练均值保护,78.41835793946277,0.49533498150489697,45.618872591772494,8.668017652730827,20.5078125,4,0.6941644964189438
VisualCogA_Task-1,3,2053,0.5,V6,18,训练均值保护,23.467961766454422,0.14823700359191644,12.635486527898362,2.5143212165323994,1.953125,4,0.20402534972722666
